player_id,player_name,season,team_abbr,team_next,salary_usd,salary_next,real_salary_change,draft_round,experience,cy_A_up,cy_A_down,cy_B_offseason,cy_B_trade,cy_C,contract_year,cy_exogenous
ellinwa01,Wayne Ellington,2019,2TM,NYK,8653076.0,8000000.0,-0.13648695604503658,1.0,10.0,,,,1,0,,
ellinwa01,Wayne Ellington,2020,NYK,DET,8000000.0,3564753.0,-0.5544058749999999,1.0,11.0,0,1,1,0,0,1,1
ellinwa01,Wayne Ellington,2021,DET,LAL,3564753.0,2641691.0,-0.2806984224697493,1.0,12.0,0,1,1,0,0,1,1
ellinwa01,Wayne Ellington,2022,LAL,,2641691.0,,,1.0,13.0,,,,0,0,,
elliske01,Keon Ellis,2024,SAC,,683430.0,,,,1.0,,,,0,0,,
ellismo01,Monta Ellis,2016,IND,IND,10300000.0,10763500.0,-0.22263549415515405,2.0,11.0,0,0,0,0,0,0,0
ellismo01,Monta Ellis,2017,IND,,10763500.0,,,2.0,12.0,,,,0,0,,
embiijo01,Joel Embiid,2017,PHI,PHI,4826160.0,6100266.0,0.2002259870888321,1.0,3.0,0,0,0,0,1,1,1
embiijo01,Joel Embiid,2018,PHI,PHI,6100266.0,25467250.0,3.0600627831436116,1.0,4.0,1,0,0,0,0,1,0
embiijo01,Joel Embiid,2019,PHI,PHI,25467250.0,27504630.0,0.008725939505041191,1.0,5.0,0,0,0,0,0,0,0
embiijo01,Joel Embiid,2020,PHI,PHI,27504630.0,29542010.0,0.07407407407407418,1.0,6.0,0,0,0,0,0,0,0
embiijo01,Joel Embiid,2021,PHI,PHI,29542010.0,31579390.0,0.037581298318812184,1.0,7.0,0,0,0,0,0,0,0
embiijo01,Joel Embiid,2022,PHI,PHI,31579390.0,33616770.0,-0.032727462382976524,1.0,8.0,0,0,0,0,0,0,0
embiijo01,Joel Embiid,2023,PHI,PHI,33616770.0,47607350.0,0.2880977338796362,1.0,9.0,1,0,0,0,0,1,0
embiijo01,Joel Embiid,2024,PHI,,47607350.0,,,1.0,10.0,,,,0,0,,
ennisja01,James Ennis III,2016,3TM,MEM,944477.0,2898000.0,1.2825243081046995,2.0,3.0,,,,1,0,,
ennisja01,James Ennis III,2017,MEM,2TM,2898000.0,3028410.0,-0.007724520686175573,2.0,4.0,0,0,,0,0,,
ennisja01,James Ennis III,2018,2TM,2TM,3028410.0,1621415.0,-0.47931030174019784,2.0,5.0,,,,1,0,,
ennisja01,James Ennis III,2019,2TM,2TM,1621415.0,1882867.0,0.08461321309201608,2.0,6.0,,,,1,0,,
ennisja01,James Ennis III,2020,2TM,ORL,1882867.0,3300000.0,0.7526463632322413,2.0,7.0,,,,1,0,,
ennisja01,James Ennis III,2021,ORL,,3300000.0,,,2.0,8.0,,,,0,0,,
ennisty01,Tyler Ennis,2016,MIL,2TM,1662360.0,1733880.0,-0.22410603579884214,1.0,2.0,0,0,,0,0,,
ennisty01,Tyler Ennis,2017,2TM,LAL,1733880.0,1524305.0,-0.16522620755228545,1.0,3.0,,,,1,1,,
ennisty01,Tyler Ennis,2018,LAL,,1524305.0,,,1.0,4.0,,,,0,0,,
eubandr01,Drew Eubanks,2021,SAS,2TM,1620564.0,2239820.0,0.3415453879898287,,1.0,1,0,,0,0,1,
eubandr01,Drew Eubanks,2022,2TM,POR,2239820.0,1968175.0,-0.20155095757889707,,2.0,,,,1,0,,
eubandr01,Drew Eubanks,2023,POR,PHO,1968175.0,2346614.0,0.08444801357483311,,3.0,0,0,1,0,0,1,1
eubandr01,Drew Eubanks,2024,PHO,,2346614.0,,,,4.0,,,,0,0,,
evansja01,Jawun Evans,2018,LAC,,815615.0,,,2.0,1.0,,,,0,1,1,1
evansja02,Jacob Evans,2019,GSW,2TM,1646400.0,1925880.0,0.0925549753749868,1.0,1.0,0,0,,0,0,,
evansja02,Jacob Evans,2020,2TM,,1925880.0,,,1.0,2.0,,,,1,0,,
evansje01,Jeremy Evans,2016,DAL,,1185784.0,,,2.0,6.0,,,,0,0,,
evansty01,Tyreke Evans,2016,NOP,2TM,10734586.0,10203755.0,-0.2928962520190528,1.0,7.0,0,1,,0,0,,
evansty01,Tyreke Evans,2017,2TM,MEM,10203755.0,3290000.0,-0.6938376064017204,1.0,8.0,,,,1,0,,
