player_clean,player_name,player_slug_hh,season,salary_usd
rudy gobert,Rudy Gobert,rudy-gobert,2016,1175880.0
jordan mickey,Jordan Mickey,jordan-mickey,2016,1170960.0
archie goodwin,Archie Goodwin,archie-goodwin,2016,1160160.0
cj wilcox,CJ Wilcox,cj-wilcox,2016,1159680.0
larry nance,Larry Nance Jr,larry-nance-jr,2016,1155600.0
chris copeland,Chris Copeland,chris-copeland,2016,1150000.0
damjan rudez,Damjan Rudez,damjan-rudez,2016,1149500.0
rj hunter,RJ Hunter,rj-hunter,2016,1148640.0
kyle anderson,Kyle Anderson,kyle-anderson,2016,1142880.0
chris mccullough,Chris McCullough,chris-mccullough,2016,1140240.0
josh huestis,Josh Huestis,josh-huestis,2016,1140240.0
kevon looney,Kevon Looney,kevon-looney,2016,1131960.0
jakarr sampson,JaKarr Sampson,jakarr-sampson,2016,1103547.0
luke babbitt,Luke Babbitt,luke-babbitt,2016,1100602.0
garrett temple,Garrett Temple,garrett-temple,2016,1100602.0
wesley johnson,Wesley Johnson,wesley-johnson,2016,1100602.0
cole aldrich,Cole Aldrich,cole-aldrich,2016,1100602.0
ishmael smith,Ishmael Smith,ishmael-smith,2016,1100602.0
glenn robinson,Glenn Robinson III,glenn-robinson-iii,2016,1100000.0
ray mccallum,Ray McCallum,ray-mccallum,2016,1076758.0
richaun holmes,Richaun Holmes,richaun-holmes,2016,1075000.0
jared cunningham,Jared Cunningham,jared-cunningham,2016,1039074.0
jon leuer,Jon Leuer,jon-leuer,2016,1035000.0
donald sloan,Donald Sloan,donald-sloan,2016,1015421.0
etwaun moore,E'Twaun Moore,etwaun-moore,2016,1015421.0
joey dorsey,Joey Dorsey,joey-dorsey,2016,1015421.0
james anderson,James Anderson,james-anderson,2016,1015421.0
phil pressey,Phil Pressey,phil-pressey,2016,1014142.0
rakeem christmas,Rakeem Christmas,rakeem-christmas,2016,1007026.0
joseph young,Joseph Young,joseph-young,2016,1007026.0
montrezl harrell,Montrezl Harrell,montrezl-harrell,2016,1000000.0
robert covington,Robert Covington,robert-covington,2016,1000000.0
walter tavares,Walter Tavares,walter-tavares,2016,1000000.0
tim frazier,Tim Frazier,tim-frazier,2016,989216.0
robert sacre,Robert Sacre,robert-sacre,2016,981358.0
john jenkins,John Jenkins,john-jenkins,2016,981349.0
thomas robinson,Thomas Robinson,thomas-robinson,2016,981348.0
hassan whiteside,Hassan Whiteside,hassan-whiteside,2016,981348.0
quincy acy,Quincy Acy,quincy-acy,2016,981348.0
christapher johnson,Christapher Johnson,christapher-johnson,2016,981348.0
allen crabbe,Allen Crabbe,allen-crabbe,2016,947276.0
isaiah canaan,Isaiah Canaan,isaiah-canaan,2016,947276.0
jeff withey,Jeff Withey,jeff-withey,2016,947276.0
seth curry,Seth Curry,seth-curry,2016,947276.0
hollis thompson,Hollis Thompson,hollis-thompson,2016,947276.0
dewayne dedmon,Dewayne Dedmon,dewayne-dedmon,2016,947276.0
ian clark,Ian Clark,ian-clark,2016,947276.0
gal mekel,Gal Mekel,gal-mekel,2016,947276.0
justin holiday,Justin Holiday,justin-holiday,2016,947276.0
troy daniels,Troy Daniels,troy-daniels,2016,947276.0
mike muscala,Mike Muscala,mike-muscala,2016,947276.0
james ennis,James Ennis,james-ennis,2016,944477.0
elton brand,Elton Brand,elton-brand,2016,890693.0
damien inglis,Damien Inglis,damien-inglis,2016,855000.0
langston galloway,Langston Galloway,langston-galloway,2016,845059.0
johnny obryant,Johnny O'Bryant,johnny-obryant,2016,845059.0
jarnell stokes,Jarnell Stokes,jarnell-stokes,2016,845059.0
cleanthony early,Cleanthony Early,cleanthony-early,2016,845059.0
jamychal green,JaMychal Green,jamychal-green,2016,845059.0
devyn marble,Devyn Marble,devyn-marble,2016,845059.0
joe harris,Joe Harris,joe-harris,2016,845059.0
jerami grant,Jerami Grant,jerami-grant,2016,845059.0
eric moreland,Eric Moreland,eric-moreland,2016,845059.0
tyler johnson,Tyler Johnson,tyler-johnson,2016,845059.0
shayne whittington,Shayne Whittington,shayne-whittington,2016,845059.0
russ smith,Russ Smith,russ-smith,2016,845059.0
jordan clarkson,Jordan Clarkson,jordan-clarkson,2016,845059.0
tarik black,Tarik Black,tarik-black,2016,845059.0
james michael mcadoo,James Michael McAdoo,james-mcadoo,2016,845059.0
spencer dinwiddie,Spencer Dinwiddie,spencer-dinwiddie,2016,845059.0
nick johnson,Nick Johnson,nick-johnson,2016,845059.0
dwight powell,Dwight Powell,dwight-powell,2016,845059.0
cameron bairstow,Cameron Bairstow,cameron-bairstow,2016,845059.0
markel brown,Markel Brown,markel-brown,2016,845059.0
raul neto,Raul Neto,raul-neto,2016,840000.0
kostas papanikolaou,Kostas Papanikolaou,kostas-papanikolaou,2016,800320.0
