birth_date_bbref,birth_city,birth_country_code,player_id,fetch_error,player_name,birth_country,is_international
1999-11-16,Khartoum,sd,bolbo01,,Bol Bol,Sudan,1
1996-01-02,Melbourne,au,boldejo01,,Jonah Bolden,Australia,1
2000-09-11,Las Varillas,ar,bolmale01,,Leandro Bolmaro,Argentina,1
1999-11-08,Neuwied,de,bongais01,,Isaac Bonga,Germany,1
1980-04-05,Concord,us,bonnema01,,Matt Bonner,USA,0
1996-10-30,Grand Rapids,us,bookede01,,Devin Booker,USA,0
1987-11-25,Newberry,us,booketr01,,Trevor Booker,USA,0
1984-03-24,Dallas,us,boshch01,,Chris Bosh,USA,0
1993-01-11,Castries,lc,bouchch01,,Chris Boucher,Saint Lucia,1
2000-09-18,Brooklyn,us,bouknja01,,James Bouknight,USA,0
1997-06-16,Havelock,us,bowmaky01,,Ky Bowman,USA,0
1990-11-26,Tacoma,us,bradlav01,,Avery Bradley,USA,0
1998-01-08,Bartow,us,bradlto01,,Tony Bradley,USA,0
2003-05-12,Columbus,us,branhma01,,Malaki Branham,USA,0
2001-04-17,Burlington,us,braunch01,,Christian Braun,USA,0
1999-01-08,Kaunas,lt,brazdig01,,Ignas Brazdeikis,Lithuania,1
1986-03-05,Portland,us,breweco01,,Corey Brewer,USA,0
1996-08-30,Philadelphia,us,bridgmi01,,Mikal Bridges,USA,0
1998-03-21,Flint,us,bridgmi02,,Miles Bridges,USA,0
1996-04-13,Newark,us,briscis01,,Isaiah Briscoe,USA,0
1998-06-20,Toronto,ca,brissos01,,Oshae Brissett,Canada,1
1990-08-23,Melbourne,au,broekry01,,Ryan Broekhoff,Australia,1
1992-12-11,Atlanta,us,brogdma01,,Malcolm Brogdon,USA,0
1985-01-14,Seattle,us,brookaa01,,Aaron Brooks,USA,0
1998-06-05,Waco,us,brookar01,,Armoni Brooks,USA,0
1996-01-22,Mississauga,ca,brookdi01,,Dillon Brooks,Canada,1
1989-01-26,Long Branch,us,brookma01,,MarShon Brooks,USA,0
1992-10-10,Bellflower,us,brownan02,,Anthony Brown,USA,0
1984-09-24,Los Angeles,us,brownbo02,,Bobby Brown,USA,0
1996-08-15,Boston,us,brownbr01,,Bruce Brown,USA,0
1997-02-02,Philadelphia,us,brownch02,,Charlie Brown Jr.,USA,0
2001-09-01,Dallas,us,browngr01,,Greg Brown III,USA,0
1996-10-24,Marietta,us,brownja02,,Jaylen Brown,USA,0
2000-01-01,Huntsville,us,brownko01,,Kobe Brown,USA,0
1990-08-26,Roswell,us,brownlo01,,Lorenzo Brown,USA,0
1992-01-29,Pineville,us,brownma02,,Markel Brown,USA,0
1999-10-13,New York,us,brownmo01,,Moses Brown,USA,0
1995-02-10,Maywood,us,brownst02,,Sterling Brown,USA,0
1999-07-28,Las Vegas,us,browntr01,,Troy Brown Jr.,USA,0
1996-08-31,New Brunswick,us,brunsja01,,Jalen Brunson,USA,0
1993-03-02,Santa Fe,ar,brussni01,,Nicolás Brussino,Argentina,1
1978-08-23,Philadelphia,us,bryanko01,,Kobe Bryant,USA,0
1997-07-31,Rochester,us,bryanth01,,Thomas Bryant,USA,0
1988-05-22,Encinitas,us,budinch01,,Chase Budinger,USA,0
1991-03-16,Baltimore,us,bullore01,,Reggie Bullock,USA,0
1992-11-12,Columbus,us,burketr01,,Trey Burke,USA,0
1991-07-20,Grandview,us,burksal01,,Alec Burks,USA,0
1994-01-31,Milwaukee,us,burtode02,,Deonte Burton,USA,0
2000-08-25,Reserve,us,butleja02,,Jared Butler,USA,0
1989-09-14,Houston,us,butleji01,,Jimmy Butler,USA,0
1979-05-23,Philadelphia,us,butlera01,,Rasual Butler,USA,0
1989-03-06,Milwaukee,us,buyckdw01,,Dwight Buycks,USA,0
1995-09-21,Osasco,br,cabocbr01,,Bruno Caboclo,Brazil,1
1999-03-20,Pontiac,us,cainja01,,Jamal Cain,USA,0
1981-09-28,Villanueva de la Serena,es,caldejo01,,José Calderón,Spain,1
1993-02-18,Thomaston,us,caldwke01,,Kentavious Caldwell-Pope,USA,0
2000-05-08,Brussels,be,camarto01,,Toumani Camara,Belgium,1
1991-03-23,Córdoba,ar,campafa01,,Facundo Campazzo,Argentina,1
1991-05-21,Biloxi,us,canaais01,,Isaiah Canaan,USA,0
