player_id,player_clean,player_name,season,team_abbr,position,age,gp,mp_total,per,ts_pct,fg3a_rate,ft_rate,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
toscaju01,juan toscano anderson,Juan Toscano-Anderson,2022,GSW,SF,28,73,994,11.0,0.561,0.37,0.298,3.2,15.8,9.7,17.6,2.4,1.6,20.4,14.7,0.3,1.8,2.0,0.098,-3.3,2.4,-0.8,0.3
okongon01,onyeka okongwu,Onyeka Okongwu,2022,ATL,C,21,48,992,19.8,0.714,0.0,0.487,12.8,18.4,15.6,7.6,1.5,5.4,13.8,14.0,3.1,1.1,4.2,0.202,0.0,0.8,0.8,0.7
birchkh01,khem birch,Khem Birch,2022,TOR,C,29,55,991,13.2,0.534,0.07,0.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,1.5,1.1,2.6,0.126,-1.7,0.4,-1.3,0.2
edwarke02,kessler edwards,Kessler Edwards,2022,BRK,SF,21,48,987,8.3,0.516,0.509,0.071,5.0,13.8,9.5,4.1,1.4,2.2,13.2,13.8,-0.2,0.9,0.6,0.031,-3.1,-0.8,-3.8,-0.5
wadede01,dean wade,Dean Wade,2022,CLE,PF,25,51,980,10.1,0.584,0.654,0.138,3.6,13.1,8.5,7.3,1.5,0.6,6.5,11.1,1.1,1.1,2.3,0.111,-1.9,1.3,-0.6,0.4
theisda01,daniel theis,Daniel Theis,2022,2TM,C,29,47,977,13.2,0.595,0.368,0.247,6.6,18.8,12.7,6.3,1.0,2.9,12.5,16.2,0.9,1.0,1.9,0.093,-1.9,-0.2,-2.1,0.0
nowelja01,jaylen nowell,Jaylen Nowell,2022,MIN,SG,22,62,975,16.8,0.581,0.387,0.223,2.4,11.4,6.8,20.2,1.3,1.0,7.4,21.0,2.1,0.7,2.8,0.138,1.5,-0.7,0.8,0.7
claxtni01,nic claxton,Nic Claxton,2022,BRK,C,22,47,974,18.6,0.672,0.0,0.352,10.4,18.9,14.8,6.4,1.2,4.7,11.1,15.1,2.3,1.2,3.5,0.171,0.3,0.2,0.5,0.6
howardw01,dwight howard,Dwight Howard,2022,LAL,C,36,60,971,18.2,0.657,0.068,0.667,13.1,26.3,19.7,5.0,1.7,3.3,14.2,14.6,2.2,1.3,3.5,0.174,-0.2,0.0,-0.2,0.4
rubiori01,ricky rubio,Ricky Rubio,2022,CLE,PG,31,34,970,14.0,0.488,0.423,0.251,1.7,14.1,8.0,34.6,2.5,0.6,16.5,24.9,-0.1,1.4,1.3,0.064,-1.0,1.2,0.2,0.5
