player_clean,player_name,player_slug_hh,season,salary_usd
jaxson hayes,Jaxson Hayes,jaxson-hayes,2022,5348280.0
pat connaughton,Pat Connaughton,pat-connaughton,2022,5333334.0
kris dunn,Kris Dunn,kris-dunn,2022,5317430.0
george hill,George Hill,george-hill,2022,5275491.0
michael porter,Michael Porter,michael-porter,2022,5258735.0
dewayne dedmon,Dewayne Dedmon,dewayne-dedmon,2022,5256308.0
ryan anderson,Ryan Anderson,ryan-anderson,2022,5214583.0
hamidou diallo,Hamidou Diallo,hamidou-diallo,2022,5200000.0
kevon looney,Kevon Looney,kevon-looney,2022,5178572.0
troy brown,Troy Brown,troy-brown,2022,5170564.0
obi toppin,Obi Toppin,obi-toppin,2022,5105160.0
franz wagner,Franz Wagner,franz-wagner,2022,5007840.0
josh jackson,Josh Jackson,josh-jackson,2022,5005350.0
louis williams,Louis Williams,louis-williams,2022,5000000.0
kendrick nunn,Kendrick Nunn,kendrick-nunn,2022,5000000.0
luol deng,Luol Deng,luol-deng,2022,5000000.0
robin lopez,Robin Lopez,robin-lopez,2022,5000000.0
javale mcgee,JaVale McGee,javale-mcgee,2022,5000000.0
danuel house,Danuel House,danuel-house,2022,4997424.0
rui hachimura,Rui Hachimura,rui-hachimura,2022,4916160.0
garrett temple,Garrett Temple,garrett-temple,2022,4910000.0
taj gibson,Taj Gibson,taj-gibson,2022,4910000.0
torrey craig,Torrey Craig,torrey-craig,2022,4878049.0
bruce brown,Bruce Brown,bruce-brown,2022,4736102.0
deni avdija,Deni Avdija,deni-avdija,2022,4692840.0
donte divincenzo,Donte DiVincenzo,donte-divincenzo,2022,4675830.0
cam reddish,Cam Reddish,cam-reddish,2022,4670160.0
david nwaba,David Nwaba,david-nwaba,2022,4650000.0
furkan korkmaz,Furkan Korkmaz,furkan-korkmaz,2022,4629630.0
davion mitchell,Davion Mitchell,davion-mitchell,2022,4603200.0
jeff green,Jeff Green,jeff-green,2022,4500000.0
bryn forbes,Bryn Forbes,bryn-forbes,2022,4500000.0
ishmael smith,Ishmael Smith,ishmael-smith,2022,4500000.0
jalen smith,Jalen Smith,jalen-smith,2022,4458000.0
lonnie walker,Lonnie Walker,lonnie-walker,2022,4447896.0
cameron johnson,Cameron Johnson,cameron-johnson,2022,4437000.0
ziaire williams,Ziaire Williams,ziaire-williams,2022,4373040.0
