player_id,player_clean,player_name,season,team_abbr,position,age,gp,gs,mpg,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,rpg,apg,spg,bpg,tov,pf,ppg
goberru01,rudy gobert,Rudy Gobert,2020,UTA,C,27,68,68,34.3,5.7,8.2,0.693,0.0,0.0,,5.7,8.2,0.693,0.693,3.7,5.9,0.63,3.4,10.1,13.5,1.5,0.8,2.0,1.9,3.2,15.1
burksal01,alec burks,Alec Burks,2020,2TM,SF,28,66,19,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.1,7.1,0.439,0.493,3.6,4.0,0.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15.0
bledser01,eric bledsoe,Eric Bledsoe,2020,MIL,PG,30,61,61,27.0,5.5,11.5,0.475,1.2,3.5,0.344,4.3,8.0,0.533,0.528,2.8,3.5,0.79,0.7,3.9,4.6,5.4,0.9,0.4,2.4,2.1,14.9
valanjo01,jonas valanciunas,Jonas Valančiūnas,2020,MEM,C,27,70,70,26.4,6.2,10.6,0.585,0.5,1.3,0.352,5.7,9.3,0.617,0.606,2.1,2.9,0.74,3.0,8.2,11.3,1.9,0.4,1.1,1.8,2.6,14.9
markkla01,lauri markkanen,Lauri Markkanen,2020,CHI,PF,22,50,50,29.8,5.0,11.8,0.425,2.2,6.3,0.344,2.8,5.5,0.518,0.517,2.5,3.1,0.824,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,14.7
rosste01,terrence ross,Terrence Ross,2020,ORL,SG,28,69,0,27.4,4.9,12.3,0.403,2.6,7.3,0.351,2.4,5.0,0.48,0.508,2.3,2.7,0.853,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.6,14.7
barneha02,harrison barnes,Harrison Barnes,2020,SAC,PF,27,72,72,34.5,5.1,11.0,0.46,1.4,3.7,0.381,3.7,7.3,0.501,0.525,3.0,3.7,0.801,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5
harrijo01,joe harris,Joe Harris,2020,BRK,SF,28,69,69,30.8,5.5,11.4,0.486,2.5,5.9,0.424,3.0,5.5,0.553,0.596,0.9,1.3,0.719,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5
conlemi01,mike conley,Mike Conley,2020,UTA,PG,32,47,41,29.0,4.9,12.1,0.409,2.0,5.4,0.375,2.9,6.6,0.437,0.494,2.4,3.0,0.827,0.7,2.5,3.2,4.4,0.8,0.1,2.0,2.2,14.4
gordoaa01,aaron gordon,Aaron Gordon,2020,ORL,PF,24,62,62,32.5,5.4,12.4,0.437,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4
